Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.192.68-192.168.1.64-443-41982-6,142.250.192.68,443,192.168.1.64,41982,6,13/01/2022 12:08:50 AM,301,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6644.518272425249,301.0,0.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,0,0,0,0,0,0,0,0,0,64,0,6644.518272425249,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,267,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.64-142.250.183.106-51676-443-6,192.168.1.64,51676,142.250.183.106,443,6,13/01/2022 12:08:51 AM,167471,16,11,1616.0,3764.0,763.0,0.0,101.0,241.75249050768156,1400.0,0.0,342.1818181818182,514.3160153411166,32124.96491929946,161.22194290354747,6441.192307692308,16602.46956574649,61310.0,4.0,167471.0,11164.733333333334,28950.058214761768,106850.0,9.0,113897.0,11389.7,23569.671892544924,61310.0,10.0,0,0,0,0,520,360,95.53892912802813,65.68301377551934,0.0,1400.0,192.14285714285714,381.9702057690339,145901.23809523808,1,2,0,14,26,0,0,0,0.0,199.25925925925927,101.0,342.1818181818182,0,0,0,0,14,46037,0,59,0,139,64240,268,7,32,0,0,0,0,1.6420118313427598E15,50833.262398288316,1.642011831382424E15,1.642011831216156E15,No Label
142.250.183.106-192.168.1.64-443-51676-6,142.250.183.106,443,192.168.1.64,51676,6,13/01/2022 12:08:51 AM,6893,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,580.2988539097636,2297.6666666666665,1719.784967178552,3313.0,312.0,6893.0,2297.6666666666665,1719.784967178552,3313.0,312.0,0,0,0,0,0,0,0,0,0,128,0,580.2988539097636,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,268,0,0,32,0,0,0,0,1.64201183142703E15,0.0,1.64201183142703E15,1.64201183142703E15,No Label
192.168.1.64-34.120.208.123-33208-443-6,192.168.1.64,33208,34.120.208.123,443,6,13/01/2022 12:07:30 AM,80730877,7,2,123.0,46.0,46.0,0.0,17.57142857142857,22.478561214760038,46.0,0.0,23.0,32.526911934581186,2.0933750044608086,0.1114815091132975,1.0091359625E7,1.4063727625478653E7,3.0310389E7,14.0,8.0730877E7,1.3455146166666666E7,1.491950706849352E7,3.0310403E7,15.0,3.0310407E7,3.0310407E7,0.0,3.0310407E7,3.0310407E7,0,0,0,0,224,64,0.0867078404214536,0.024773668691843886,0.0,46.0,16.900000000000002,22.243351066479768,494.76666666666665,1,0,0,4,9,0,0,0,0.0,18.77777777777778,17.571428571428573,23.0,0,0,0,0,0,0,0,13,0,5,282,282,3,32,0,0,0,0,1.642011787911492E15,2.821817465057938E7,1.642011831711087E15,1.642011751025711E15,No Label
34.120.208.123-192.168.1.64-443-33208-6,34.120.208.123,443,192.168.1.64,33208,6,13/01/2022 12:08:51 AM,206,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9708.73786407767,206.0,0.0,206.0,206.0,206.0,206.0,0.0,206.0,206.0,0,0,0,0,0,0,0,0,0,64,0,9708.73786407767,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.64-157.240.16.20-56342-443-6,192.168.1.64,56342,157.240.16.20,443,6,13/01/2022 12:08:30 AM,22511609,4,0,63.0,0.0,39.0,0.0,15.75,19.189841062395487,0,0,0,0,2.798556069448434,0.17768609964751964,7503869.666666666,1.2996814182922227E7,2.2511298E7,13.0,2.2511609E7,7503869.666666666,1.2996814182922227E7,2.2511298E7,13.0,0,0,0,0,0,0,0,0,0,128,0,0.17768609964751964,0.0,0.0,39.0,12.6,18.04993074778959,325.8,1,0,0,2,4,0,0,0,0.0,15.75,15.75,0.0,0,0,0,0,0,0,1,15,0,0,283,0,2,32,0,0,0,0,1.642011832711608E15,0.0,1.642011832711608E15,1.642011832711608E15,No Label
157.240.16.20-192.168.1.64-443-56342-6,157.240.16.20,443,192.168.1.64,56342,6,13/01/2022 12:08:52 AM,267,2,1,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0.0,0.0,0.0,0.0,146067.4157303371,11235.955056179775,133.5,149.19953083036154,239.0,28.0,267.0,267.0,0.0,267.0,267.0,0,0,0,0,0,1,0,0,0,64,20,7490.636704119851,3745.3183520599255,0.0,39.0,19.5,22.516660498395403,507.0,1,0,1,1,2,0,0,0,0.0,26.0,19.5,0.0,0,0,0,0,0,0,0,13,0,0,283,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.64-157.240.16.20-56344-443-6,192.168.1.64,56344,157.240.16.20,443,6,13/01/2022 12:08:29 AM,23739052,4,0,63.0,0.0,39.0,0.0,15.75,19.189841062395487,0,0,0,0,2.6538549222605856,0.16849872522289433,7913017.333333334,1.3705399055551367E7,2.3738649E7,14.0,2.3739052E7,7913017.333333334,1.3705399055551367E7,2.3738649E7,14.0,0,0,0,0,0,0,0,0,0,128,0,0.16849872522289433,0.0,0.0,39.0,12.6,18.04993074778959,325.8,1,0,0,2,4,0,0,0,0.0,15.75,15.75,0.0,0,0,0,0,0,0,1,15,0,0,269,0,2,32,0,0,0,0,1.642011833712114E15,0.0,1.642011833712114E15,1.642011833712114E15,No Label
157.240.16.20-192.168.1.64-443-56344-6,157.240.16.20,443,192.168.1.64,56344,6,13/01/2022 12:08:53 AM,618,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,38834.951456310686,6472.491909385114,206.0,329.0911727773931,586.0,15.0,618.0,309.0,391.7371567773473,586.0,32.0,0,0,0,0,0,0,0,0,0,96,20,4854.368932038836,1618.1229773462785,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,269,0,1,32,0,0,0,0,1.642011833756502E15,0.0,1.642011833756502E15,1.642011833756502E15,No Label
192.168.1.64-157.240.16.20-56346-443-6,192.168.1.64,56346,157.240.16.20,443,6,13/01/2022 12:08:33 AM,23992160,4,0,63.0,0.0,39.0,0.0,15.75,19.189841062395487,0,0,0,0,2.6258577802082015,0.16672112890210802,7997386.666666666,1.38517345423547E7,2.3991992E7,13.0,2.399216E7,7997386.666666666,1.38517345423547E7,2.3991992E7,13.0,0,0,0,0,0,0,0,0,0,128,0,0.16672112890210802,0.0,0.0,39.0,12.6,18.04993074778959,325.8,1,0,0,2,4,0,0,0,0.0,15.75,15.75,0.0,0,0,0,0,0,0,1,15,0,0,269,0,2,32,0,0,0,0,1.642011837712682E15,0.0,1.642011837712682E15,1.642011837712682E15,No Label
