Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.65-139.5.69.140-44066-443-6,192.168.1.65,44066,139.5.69.140,443,6,04/01/2022 06:16:46 PM,23042498,5,3,24.0,0.0,24.0,0.0,4.8,10.73312629199899,0.0,0.0,0.0,0.0,1.0415537412653786,0.34718458042179284,3291785.428571428,4807893.976246802,1.0237798E7,13.0,2.3042498E7,5760624.5,5277070.766709659,1.0240004E7,13.0,2.0404571E7,1.02022855E7,59000.28271542434,1.0244005E7,1.0160566E7,0,0,0,0,160,96,0.21699036276362052,0.13019421765817232,0.0,24.0,2.6666666666666665,8.0,64.0,1,0,0,1,8,0,0,0,0.0,3.0,4.8,0.0,0,0,0,0,0,0,0,3,0,0,1215,272,1,32,0,0,0,0,1.6412995191408815E15,9204881.591957731,1.64129952937622E15,1.641299506423789E15,No Label
192.168.1.65-172.217.160.182-60814-443-6,192.168.1.65,60814,172.217.160.182,443,6,04/01/2022 06:17:02 PM,6785126,4,1,102.0,39.0,39.0,0.0,25.5,18.411952639521967,39.0,39.0,39.0,0.0,20.78074894998265,0.7369059911341367,1696281.5,3294984.3574447613,6638357.0,513.0,6785126.0,2261708.666666667,3790989.0834404062,6638357.0,513.0,0,0,0,0,0,1,0,0,0,128,32,0.5895247929073093,0.14738119822682733,0.0,39.0,30.0,15.874507866387544,252.0,1,0,0,4,5,0,0,0,0.0,36.0,25.5,39.0,0,0,0,0,0,0,0,20,0,7,2613,308,2,32,0,0,0,0,1.6412995259899935E15,4736100.104117786,1.641299529338922E15,1.641299522641065E15,No Label
192.168.1.65-142.250.183.78-36614-443-6,192.168.1.65,36614,142.250.183.78,443,6,04/01/2022 06:16:51 PM,17588075,6,6,1923.0,137.0,1400.0,0.0,320.5,552.1842989437494,67.0,0.0,22.833333333333332,27.72303494689329,117.12481326125798,0.682280465599561,1598915.9090909092,5216027.708193784,1.7325361E7,2.0,1.7588075E7,3517615.0,7772521.085344156,1.7420929E7,15.0,167127.0,33425.4,46403.08317665972,95668.0,15.0,0,0,0,0,192,192,0.3411402327997805,0.3411402327997805,0.0,1400.0,266.15384615384613,515.3427413145945,265578.141025641,1,0,0,7,12,0,0,0,1.0,288.3333333333333,320.5,22.833333333333332,0,0,0,0,6,12002,0,160,0,11,855,427,4,32,0,0,0,0,1.6412995138626235E15,5784504.834235895,1.641299529286783E15,1.641299511795256E15,No Label
192.168.1.65-142.250.76.193-34896-443-6,192.168.1.65,34896,142.250.76.193,443,6,04/01/2022 06:17:04 PM,4785146,4,2,102.0,39.0,39.0,0.0,25.5,18.411952639521967,39.0,0.0,19.5,27.577164466275352,29.466185566751776,1.2538802368830544,957029.2,2078744.8532440674,4674638.0,12.0,4785146.0,1595048.6666666665,2667556.023537338,4674638.0,919.0,15.0,15.0,0.0,15.0,15.0,1,0,0,0,128,64,0.8359201579220362,0.4179600789610181,0.0,39.0,25.714285714285715,18.400310556385413,338.5714285714285,1,0,0,4,6,0,0,0,0.0,30.0,25.5,19.5,0,0,0,0,0,0,0,17,0,6,669,282,2,32,0,0,0,0,1.641299526229407E15,2731081.632289119,1.641299529382354E15,1.641299524598154E15,No Label
192.168.1.65-185.199.110.133-49890-443-6,192.168.1.65,49890,185.199.110.133,443,6,04/01/2022 06:17:09 PM,1273,2,0,63.0,0.0,39.0,24.0,31.5,10.606601717798213,0,0,0,0,49489.395129615084,1571.0919088766693,1273.0,0.0,1273.0,1273.0,1273.0,1273.0,0.0,1273.0,1273.0,0,0,0,0,0,1,0,0,0,64,0,1571.0919088766693,0.0,24.0,39.0,34.0,8.660254037844387,75.0,1,0,0,2,2,0,0,0,0.0,51.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,501,0,1,32,0,0,0,0,0,0,0,0,No Label
192.168.1.65-185.199.108.133-35500-443-6,192.168.1.65,35500,185.199.108.133,443,6,04/01/2022 06:17:09 PM,3848,3,0,63.0,0.0,39.0,0.0,21.0,19.672315572906,0,0,0,0,16372.141372141372,779.6257796257796,1924.0,2706.804758382104,3838.0,10.0,3848.0,1924.0,2706.804758382104,3838.0,10.0,0,0,0,0,0,1,0,0,0,96,0,779.6257796257796,0.0,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,21.0,0.0,0,0,0,0,0,0,1,21,0,0,873,0,1,32,0,0,0,0,0,0,0,0,No Label
192.168.1.65-20.205.243.166-37456-443-6,192.168.1.65,37456,20.205.243.166,443,6,04/01/2022 06:17:09 PM,1592,2,0,63.0,0.0,39.0,24.0,31.5,10.606601717798213,0,0,0,0,39572.86432160804,1256.2814070351758,1592.0,0.0,1592.0,1592.0,1592.0,1592.0,0.0,1592.0,1592.0,0,0,0,0,0,1,0,0,0,64,0,1256.2814070351758,0.0,24.0,39.0,34.0,8.660254037844387,75.0,1,0,0,2,2,0,0,0,0.0,51.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,1802,0,1,32,0,0,0,0,0,0,0,0,No Label
192.168.1.65-185.199.109.154-58398-443-6,192.168.1.65,58398,185.199.109.154,443,6,04/01/2022 06:17:09 PM,1636,2,0,63.0,0.0,39.0,24.0,31.5,10.606601717798213,0,0,0,0,38508.557457212715,1222.4938875305622,1636.0,0.0,1636.0,1636.0,1636.0,1636.0,0.0,1636.0,1636.0,0,0,0,0,0,1,0,0,0,64,0,1222.4938875305622,0.0,24.0,39.0,34.0,8.660254037844387,75.0,1,0,0,2,2,0,0,0,0.0,51.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,5168,0,1,32,0,0,0,0,0,0,0,0,No Label
185.199.108.133-192.168.1.65-443-35500-6,185.199.108.133,443,192.168.1.65,35500,6,04/01/2022 06:17:09 PM,10580,5,1,24.0,0.0,24.0,0.0,4.8,10.73312629199899,0.0,0.0,0.0,0.0,2268.431001890359,567.1077504725897,2116.0,4617.520492645376,10375.0,4.0,10580.0,2645.0,5154.052192207603,10375.0,4.0,0,0,0,0,0,0,0,0,0,160,20,472.58979206049145,94.5179584120983,0.0,24.0,3.428571428571429,9.071147352221454,82.28571428571428,1,0,1,1,5,0,0,0,0.0,4.0,4.8,0.0,0,0,0,0,0,0,0,4,0,0,282,0,1,32,0,0,0,0,1.6412995294772382E15,5994.916707789469,1.641299529480701E15,1.641299529470316E15,No Label
185.199.110.133-192.168.1.65-443-49890-6,185.199.110.133,443,192.168.1.65,49890,6,04/01/2022 06:17:09 PM,19,4,1,24.0,0.0,24.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,1263157.894736842,263157.8947368421,4.75,0.5,5.0,4.0,19.0,6.333333333333333,2.309401076758503,9.0,5.0,0,0,0,0,0,0,0,0,0,128,20,210526.31578947368,52631.57894736842,0.0,24.0,4.0,9.797958971132712,96.0,1,0,1,1,4,0,0,0,0.0,4.8,6.0,0.0,0,0,0,0,0,0,0,4,0,0,282,0,1,32,0,0,0,0,1.6412995294819125E15,3.5355339059327378,1.641299529481915E15,1.64129952948191E15,No Label
