Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
13.227.178.85-192.168.1.66-443-41500-6,13.227.178.85,443,192.168.1.66,41500,6,03/05/2022 10:09:21 AM,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,135,501,0,32,0,0,0,0,0,0,0,0,No Label
54.149.118.85-192.168.1.66-443-39412-6,54.149.118.85,443,192.168.1.66,39412,6,03/05/2022 10:09:19 AM,14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142857.14285714287,14.0,0.0,14.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,71428.57142857143,71428.57142857143,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,119,501,0,32,0,0,0,0,0,0,0,0,No Label
140.82.112.26-192.168.1.66-443-34728-6,140.82.112.26,443,192.168.1.66,34728,6,03/05/2022 10:09:17 AM,409676,2,1,26.0,30.0,26.0,0.0,13.0,18.384776310850235,30.0,30.0,30.0,0.0,136.6933869692147,7.3228600162079305,204838.0,289512.14363477053,409554.0,122.0,409676.0,409676.0,0.0,409676.0,409676.0,0,0,0,0,0,1,0,0,0,64,32,4.881906677471954,2.440953338735977,0.0,30.0,20.5,13.79613472438325,190.3333333333333,0,0,0,2,3,0,0,0,0.0,27.333333333333332,13.0,30.0,0,0,0,0,0,0,0,8,0,10,70,501,0,32,0,0,0,0,1.651551857450734E15,0.0,1.651551857450734E15,1.651551857450734E15,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,03/05/2022 10:09:19 AM,10239305,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.29298863545914494,5119652.5,25252.90447651517,5137509.0,5101796.0,1.0239305E7,5119652.5,25252.90447651517,5137509.0,5101796.0,0,0,0,0,0,0,0,0,0,0,0,0.29298863545914494,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.257759350227855E14,1.1678235195755178E15,1.651551864943775E15,5101796.0,No Label
134.221.96.0-0.0.0.32-0-0-0,134.221.96.0,0,0.0.0.32,0,0,03/05/2022 10:09:18 AM,11775412,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7643044676483507,1471926.5,1327630.9296063527,3097320.0,0.0,1.1775412E7,1471926.5,1327630.9296063527,3097320.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7643044676483507,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6515518638251638E15,3743801.809391626,1.651551870045595E15,1.651551859806451E15,No Label
